quadkey,latitude,longitude,rwi,error
03311231121221,33.8977765,-6.1193848,-0.086,0.477
03311233030120,32.7965096,-6.5808105,0.246,0.484
03311233200133,32.4819627,-6.8664551,-0.140,0.489
03313003232100,29.6785076,-9.3933105,0.866,0.431
03311231121232,33.8795365,-6.0974121,0.329,0.492
03311223323032,32.0360196,-8.9099121,-0.287,0.471
03313001203101,31.1940070,-9.5471191,-0.125,0.470
03311233001303,33.0362977,-6.7346191,-0.216,0.434
03311302102210,35.2366457,-4.8669434,-0.268,0.440
03313001003121,31.7561958,-9.5471191,0.298,0.553
03313012130020,30.4013061,-7.3718262,-0.550,0.418
03311232022123,32.6301225,-8.3166504,-0.390,0.467
03313003033121,30.2495768,-9.1955566,-0.427,0.444
03311303123030,34.9850026,-3.2849121,-0.180,0.475
03311320223102,33.2570629,-5.3503418,-0.335,0.416
03311320203022,33.5139189,-5.4382324,-0.753,0.456
03311321101210,34.2254285,-3.2849121,-0.336,0.484
03311321023122,33.8065375,-3.9440918,-0.690,0.401
03311232211202,32.4448845,-7.8991699,-0.446,0.541
03311320022222,33.7334762,-5.6140137,-0.406,0.492
03311321021010,34.0071346,-3.9880371,-0.203,0.461
03313012230300,29.7548395,-7.9870605,0.091,0.570
03311233312103,32.3706824,-5.8557129,-0.269,0.415
03311223233022,32.0360196,-9.3054199,-0.506,0.418
03311322011231,33.0178755,-5.0207520,-0.290,0.388
03311232133221,32.5745912,-7.1740723,-0.208,0.416
03311302200011,34.8769180,-5.5480957,0.384,0.478
03311232101331,33.0178755,-7.3937988,-0.629,0.468
03313001213311,31.1187939,-9.1516113,-0.315,0.415
03313021011113,29.5065490,-9.1516113,0.362,0.527
03311320132203,33.7700147,-4.5373535,-0.514,0.409
03311230230000,33.4222718,-8.0749512,0.116,0.592
03311303003221,35.2007443,-4.0100098,-0.353,0.516
03313100131131,31.6066092,-4.2297363,-0.058,0.446
03311302332110,34.4431582,-4.4274902,-0.216,0.437
03311232132313,32.5931055,-7.2180176,-0.320,0.431
03311303201111,34.8769180,-3.8781738,-0.705,0.460
03311321120100,34.0071346,-3.4167480,-0.512,0.414
03311232022020,32.6486253,-8.4265137,1.007,0.551
03311320123320,33.7517474,-4.6472168,-0.581,0.398
03311233102012,32.9625860,-6.2731934,-0.839,0.392
03311232320200,32.1663125,-7.7233887,-0.627,0.539
03313023010133,28.2366490,-9.3273926,-0.278,0.388
03311231331210,33.3488843,-5.7458496,-0.097,0.388
03313003233300,29.6021178,-9.2175293,-0.536,0.387
03311302222323,34.3162179,-5.5041504,-0.364,0.538
03311302213331,34.6241673,-4.9328613,0.251,0.524
03311223322213,31.9987589,-9.0637207,-0.897,0.433
03311322212211,32.3149908,-5.1965332,-0.653,0.433
03311320221210,33.3488843,-5.3942871,-0.716,0.414
03311223033330,32.5745912,-9.1735840,-0.078,0.397
03311320132331,33.7517474,-4.4055176,-0.408,0.464
03311303220123,34.5337119,-4.0979004,-0.662,0.401
03313011000033,31.8868861,-6.9543457,-0.259,0.437
03311231302130,33.5322367,-6.1853027,-0.060,0.421
03311223111320,33.0178755,-8.5144043,-0.300,0.487
03311232020121,32.7965096,-8.3166504,-0.341,0.463
03313001031130,31.6066092,-9.1735840,-0.312,0.450
03311231022033,33.8065375,-6.9543457,0.148,0.518
03313001030311,31.5691750,-9.3273926,-0.294,0.446
03311302320331,34.4793915,-4.7570801,-0.223,0.461
03311233310100,32.5375513,-5.8776855,-0.657,0.388
03313011310101,31.3442540,-5.8557129,-0.308,0.432
03313011213310,31.1187939,-6.3610840,-0.126,0.469
03311320310013,33.6969222,-4.4934082,-0.174,0.447
03311231230130,33.3855858,-6.5368652,-0.452,0.444
03311302222300,34.3706444,-5.5261230,-0.403,0.451
03313003102031,30.5528000,-9.0637207,-0.618,0.448
03311213312102,34.7145242,-5.8776855,0.346,0.425
03311303221230,34.4793915,-3.9880371,-0.948,0.412
03313003100323,30.6095493,-9.0197754,-0.341,0.421
03311320221033,33.3672370,-5.3723145,-0.396,0.517
03313001303313,31.0999813,-8.8000488,-0.297,0.452
03311321022321,33.7517474,-4.0979004,-0.680,0.399
03311230303031,33.5322367,-7.4816895,0.927,0.545
03311322202132,32.3335585,-5.4821777,-0.759,0.395
03313021100300,29.4491644,-9.0417480,-0.143,0.401
03311233032231,32.5745912,-6.6027832,0.119,0.459
03311312321130,34.5518109,-1.7907715,-0.548,0.400
03311312231202,34.4975022,-2.2741699,-0.724,0.394
03313011100032,31.8868861,-6.2731934,-0.341,0.387
03313010221110,31.0435212,-8.1188965,-0.508,0.409
03313001211002,31.3254862,-9.3054199,-0.270,0.450
03311223321020,32.2035049,-8.9538574,-0.310,0.391
03313011130033,31.5878940,-5.8996582,-0.505,0.429
03311321011112,34.2799139,-3.5485840,-0.487,0.429
03311321120201,33.9342448,-3.4826660,-0.570,0.430
03311312230301,34.5156090,-2.3400879,-0.636,0.445
03311303110313,35.3621756,-2.9992676,0.243,0.536
03311302022013,35.0030029,-5.5480957,-0.080,0.477
03313011003213,31.7001291,-6.7785645,-0.529,0.414
03311233131323,32.7041107,-5.6799316,-0.161,0.387
03313013112331,30.4770825,-5.8117676,-0.146,0.405
03311312201033,34.8228222,-2.5598145,-0.202,0.411
03313003013033,30.5338761,-9.2395020,-0.449,0.436
03311232320022,32.1849106,-7.7233887,-0.427,0.466
03311233232113,32.0732651,-6.5148926,-0.218,0.457
03313010130231,31.5317257,-7.3059082,-0.169,0.391
03311302020010,35.1648270,-5.5700684,-0.422,0.475
03311232033100,32.6856194,-7.8112793,-0.367,0.450
03313012232213,29.5830112,-8.0090332,0.065,0.453
03311303013220,35.2007443,-3.6804199,-0.209,0.441
03311213320110,34.5879970,-6.1853027,-0.051,0.511
03311302003212,35.2186970,-5.3942871,-0.372,0.440
03313003101232,30.6095493,-8.9099121,-0.580,0.448
03311320310000,33.7152012,-4.5593262,-0.613,0.446
03311233020130,32.7965096,-6.8884277,-0.184,0.644
03313011120103,31.6253207,-6.2072754,-0.389,0.386
03311232330331,32.1291049,-7.2180176,-0.195,0.485
03313003010022,30.6851635,-9.4812012,0.062,0.512
03313020111331,29.4108899,-9.8547363,-0.889,0.402
03311321000201,34.2254285,-4.1857910,0.372,0.449
03313003222323,29.5447873,-9.7229004,-0.369,0.473
03311323211003,32.5190256,-3.6584473,-0.530,0.407
03311321200321,33.6054691,-4.0979004,-0.369,0.384
03311230311332,33.5871669,-7.0642090,0.240,0.507
03313003230132,29.7739134,-9.3493652,-0.442,0.415
03313003113110,30.5906366,-8.4704590,-0.228,0.500
03311233010220,33.0178755,-6.6687012,-0.477,0.416
03313010212303,31.0999813,-7.9650879,-0.361,0.420
03311303120021,35.1288938,-3.4826660,0.056,0.489
03313001211330,31.2315912,-9.1735840,-0.067,0.419
03311213311301,34.8047824,-5.6799316,-0.791,0.546
03311233110300,33.0547160,-5.8776855,-0.234,0.390
03311322301300,32.4634255,-4.6472168,-0.354,0.385
03311302332220,34.3343640,-4.5593262,0.047,0.448
03311231130001,34.0071346,-5.9436035,-0.513,0.471
03311211331100,35.7375947,-5.7019043,-0.336,0.521
03311232122033,32.6301225,-7.6574707,0.253,0.481
03311302201333,34.7506393,-5.2844238,-0.358,0.546
03311230221220,33.3121674,-8.2507324,-0.024,0.471
03311231330020,33.3855858,-5.9655762,0.058,0.432
03313001312221,31.0811650,-8.7561035,-0.828,0.433
03311232200032,32.4819627,-8.3825684,0.373,0.507
03311233011221,33.0178755,-6.4709473,-0.094,0.416
03313010032003,31.4755236,-8.0529785,-0.086,0.528
03311232130200,32.7595615,-7.3718262,-0.566,0.408
03311233000203,33.0362977,-6.9982910,-0.375,0.461
03311231302013,33.5505507,-6.2512207,-0.153,0.475
03311320010231,34.1890853,-5.1965332,-0.017,0.459
03313100002233,31.6627324,-5.5480957,-0.069,0.524
03311233123001,32.6856194,-6.1193848,-0.621,0.422
03311213121102,35.1468624,-6.0534668,-0.457,0.468
03311330020010,34.0071346,-2.7575684,-0.535,0.410
03311232212233,32.2592650,-8.0090332,-0.206,0.450
03313001122022,31.4380367,-9.1296387,-0.597,0.445
03311321023222,33.7334762,-4.0319824,-0.676,0.384
03313011022032,31.4380367,-6.9763184,-0.085,0.409
03311233111201,33.0547160,-5.7678223,-0.918,0.431
03311223323313,31.9987589,-8.8000488,-0.242,0.392
03311300222102,35.5769160,-5.5261230,-0.146,0.511
03311223300330,32.4263397,-8.9978027,-0.134,0.477
03311213103332,35.1827876,-6.0095215,-0.675,0.508
03311213311102,34.8588900,-5.7019043,-0.396,0.450
03311232000121,33.0915411,-8.3166504,-0.234,0.458
03311232300200,32.4634255,-7.7233887,-0.189,0.431
03311231013322,34.0253472,-6.4050293,-0.233,0.497
03311320320101,33.4222718,-4.8010254,0.010,0.476
03311233001231,33.0178755,-6.7785645,-0.432,0.416
03311302003013,35.2904681,-5.3723145,-0.544,0.430
03311233300300,32.4634255,-6.2292480,-0.707,0.483
03311323002031,32.9441484,-4.1418457,-0.583,0.384
03311233310233,32.4077911,-5.8996582,-0.434,0.391
03311302300011,34.8769180,-4.8449707,-0.837,0.466
03313010021303,31.5504522,-8.1408691,0.107,0.488
03311231222100,33.2754349,-6.9323730,-0.372,0.427
03313010122330,31.3817783,-7.5915527,-0.052,0.456
03311231332031,33.2386870,-5.8996582,-0.889,0.453
03313100303223,31.0623449,-4.7131348,-0.787,0.383
03313003213220,29.8692284,-9.3054199,-0.338,0.448
03311232233022,32.0360196,-7.8991699,-0.655,0.446
03311233200311,32.4634255,-6.8664551,-0.132,0.503
03311232103321,32.8703597,-7.4377441,-0.338,0.451
03311223121233,32.7041107,-8.8879395,0.069,0.465
03313013111120,30.7040578,-5.7019043,-1.122,0.435
03313003213121,29.9454149,-9.1955566,-0.756,0.442
03311321101202,34.2072589,-3.3288574,-0.430,0.442
03311231232331,33.1651449,-6.5148926,-0.310,0.415
03311223331111,32.2406821,-8.4484863,-0.097,0.493
03311233033221,32.5745912,-6.4709473,-0.611,0.527
03311320230323,33.2938031,-5.1525879,-0.199,0.443
03313001133100,31.4942613,-8.5144043,-0.506,0.453
03311312020202,35.0749644,-2.8015137,-0.452,0.491
03311231213223,33.4406090,-6.4709473,-0.509,0.435
03313003000201,30.6662655,-9.8107910,0.140,0.448
03313003322223,29.5447873,-9.1076660,-0.336,0.417
03311232000133,33.0731305,-8.2727051,-0.496,0.407
03313011130230,31.5317257,-5.9216309,-0.245,0.523
03311302331233,34.4612768,-4.3176270,-0.035,0.417
03311320320003,33.4039307,-4.8889160,-0.672,0.523
03311233123121,32.6486253,-6.0314941,-0.329,0.450
03313001211012,31.3254862,-9.2614746,-0.226,0.392
03311322123201,32.6116159,-4.7131348,-0.392,0.404
03313003331122,29.7739134,-8.5144043,-0.165,0.402
03311231230031,33.3855858,-6.6027832,-0.895,0.422
03311231311202,33.6237675,-5.7897949,-0.411,0.421
03313010111220,31.8308986,-7.1960449,0.133,0.499
03311231301113,33.6969222,-5.9875488,-0.644,0.403
03311223301231,32.4263397,-8.8879395,-0.514,0.475
03313003131200,30.3633958,-8.6022949,-0.736,0.390
03311232221202,32.1477106,-8.2507324,-0.513,0.541
03313001313311,31.1187939,-8.4484863,-0.605,0.437
03311231103102,34.1345412,-6.0534668,-0.537,0.456
03313100031330,31.5317257,-4.9548340,-0.095,0.543
03311312303000,34.7325837,-1.9226074,0.805,0.544
03311302231230,34.4793915,-5.0427246,-0.327,0.478
03311302301023,34.8228222,-4.7131348,-0.094,0.501
03311232320011,32.2406821,-7.6574707,-0.249,0.441
03311322020331,32.7225981,-5.4602051,-0.204,0.420
03313010232132,30.8362142,-7.9431152,-0.153,0.394
03311312230030,34.5518109,-2.4060059,-0.489,0.433
03311321211300,33.6420620,-3.5925293,-0.261,0.478
03313003031320,30.3254708,-9.2175293,0.194,0.484
03311232031001,32.8334424,-7.8771973,0.084,0.514
03311223332301,32.0173911,-8.6682129,-0.175,0.399
03311320030303,33.9160126,-5.1525879,-0.108,0.538
03311312302223,34.6060841,-2.0764160,0.023,0.450
03311322103113,32.9625860,-4.5812988,-0.582,0.389
03311223322313,31.9987589,-8.9758301,-0.010,0.468
03311230232123,33.2203073,-7.9650879,-0.325,0.459
03313100213122,31.1376028,-4.9987793,-0.658,0.450
03311302310231,34.7686910,-4.4934082,-0.115,0.463
03313011320221,30.9305004,-6.2951660,0.016,0.443
03311323331131,32.2035049,-2.8234863,-0.370,0.386
03311213321100,34.5879970,-6.0534668,-0.356,0.494
03311230133111,33.8612926,-7.0422363,0.613,0.548
03311302230332,34.4612768,-5.1306152,-0.148,0.453
03311323330330,32.1291049,-3.0212402,-0.461,0.415
03313003110323,30.6095493,-8.6682129,-0.894,0.419
03311312033213,34.9309781,-2.2082520,0.433,0.519
03311303133011,35.0209992,-2.9113770,-0.319,0.532
03311303132011,35.0209992,-3.0871582,-0.343,0.470
03313010011330,31.8308986,-7.7673340,-0.190,0.430
03311300221132,35.6840710,-5.3063965,1.016,0.572
03313003210323,30.0025165,-9.3713379,-0.227,0.477
03311223303331,32.2778440,-8.8000488,-0.749,0.451
03311302033231,34.9129620,-5.0207520,-0.244,0.475
03311232003033,32.9257070,-8.1848145,-0.190,0.494
03311322013022,32.9257070,-5.0866699,-0.488,0.400
03311302033320,34.9129620,-4.9987793,-0.253,0.532
03313100033121,31.4567820,-4.9768066,-0.594,0.384
03311312212001,34.7325837,-2.4279785,-0.247,0.463
03311303130123,35.1109213,-3.0432129,-0.662,0.540
03313100221002,31.0246937,-5.4382324,-0.389,0.453
03313011001331,31.8308986,-6.6906738,0.219,0.493
03311320133232,33.7334762,-4.3395996,-0.357,0.455
03313003003332,30.4581439,-9.5251465,-0.332,0.512
03311231033202,33.7700147,-6.4929199,-0.203,0.458
03313010201311,31.2691604,-8.0969238,-0.513,0.421
03313001203111,31.1940070,-9.5031738,-0.319,0.414
03313021013323,29.2384766,-9.1955566,0.231,0.491
03311322130000,32.8334424,-4.5593262,-0.547,0.392
03311233311200,32.4634255,-5.7897949,-0.296,0.489
03313001130023,31.5878940,-8.7561035,-0.309,0.498
03311231131231,33.8977765,-5.7238770,-0.157,0.476
03311223321121,32.2035049,-8.8439941,-0.157,0.451
03311233013302,32.8888127,-6.4050293,-0.552,0.562
03313020132032,29.0081399,-10.1403809,-0.425,0.511
03311312033132,34.9669984,-2.1423340,-0.181,0.486
03311223323030,32.0546442,-8.9099121,0.008,0.470
03311302323322,34.3162179,-4.6472168,-0.428,0.417
03313001232120,30.8550788,-9.3933105,-0.359,0.418
03311231132222,33.7334762,-5.9655762,-0.104,0.403
03311303021300,35.0929448,-3.9440918,-0.082,0.531
03313001012111,31.7935547,-9.3273926,-0.511,0.454
03311230303120,33.5322367,-7.4597168,0.104,0.515
03311232022003,32.6671243,-8.4045410,0.214,0.541
03311231003311,34.0799618,-6.6906738,0.207,0.472
03313001301213,31.2503777,-8.8879395,0.218,0.466
03311213331310,34.5156090,-5.6579590,-0.071,0.431
03311303123013,35.0030029,-3.2629395,-0.668,0.440
03313003011032,30.6851635,-9.2614746,-0.437,0.490
03311223110301,33.0547160,-8.6682129,-0.123,0.496
03313101000020,31.9055410,-4.2077637,-0.815,0.464
03311303321020,34.5518109,-3.3288574,-0.574,0.426
03313003222302,29.5830112,-9.7448730,-0.266,0.416
03311232101201,33.0547160,-7.5256348,0.169,0.549
03313001320002,31.0246937,-9.1296387,0.197,0.474
03313010113012,31.7748771,-7.1520996,0.052,0.538
03313001300011,31.3442540,-9.0637207,-0.267,0.425
03313101023020,31.4567820,-4.0319824,-0.219,0.441
03311233023212,32.5931055,-6.8005371,-0.743,0.445
03311231122331,33.7517474,-6.1633301,-0.540,0.449
03311231010031,34.2617560,-6.6027832,0.913,0.520
03313010030001,31.6440285,-8.0529785,0.962,0.513
03311302120200,35.0929448,-4.9108887,-0.723,0.565
03311233131300,32.7595615,-5.7019043,0.049,0.477
03313003132301,30.2116078,-8.6682129,-0.002,0.442
03311223332003,32.0732651,-8.7561035,-0.591,0.453
03313010130003,31.6253207,-7.3498535,-0.459,0.406
03313012001100,30.7418353,-8.1628418,-0.558,0.393
03313013130311,30.3633958,-5.8117676,-0.069,0.499
03311233130023,32.7780375,-5.9436035,-0.473,0.409
03311322210200,32.4634255,-5.2624512,0.021,0.539
03311213330131,34.5518109,-5.8117676,-0.648,0.472
03313010331100,31.0435212,-7.1081543,-0.326,0.494
03311320230032,33.3672370,-5.2185059,-0.307,0.437
03311320010322,34.1709079,-5.1745605,-0.465,0.470
03311320120100,34.0071346,-4.8229980,0.076,0.466
03311320031100,34.0071346,-4.9987793,1.377,0.516
03311303232121,34.4069092,-3.7463379,-0.588,0.415
03311233213030,32.3521223,-6.4489746,-0.100,0.489
03313020110222,29.3917473,-10.1843262,0.460,0.561
03313010113223,31.6627324,-7.1740723,-0.842,0.443
03311302122103,35.0030029,-4.8010254,-0.227,0.506
03313010021233,31.5129954,-8.1848145,0.011,0.503
03313100121203,31.5504522,-4.7131348,0.039,0.519
03313001311110,31.3442540,-8.4704590,-0.277,0.392
03311302321303,34.4975022,-4.6252441,-0.122,0.506
03311213130301,35.0929448,-5.8557129,-0.238,0.491
03311231333022,33.2203073,-5.7897949,-0.586,0.421
03313021000332,29.3917473,-9.7009277,-0.473,0.419
03311312211331,34.7686910,-2.1203613,-0.314,0.448
03311303212222,34.6060841,-3.8562012,-0.044,0.430
03313010232223,30.7607184,-8.0529785,-0.746,0.403
03311320102332,34.0253472,-4.7790527,0.095,0.460
03313010033003,31.4755236,-7.8771973,0.415,0.501
03311323022231,32.5745912,-4.1418457,-0.618,0.399
03311223323203,31.9987589,-8.9318848,0.396,0.438
03311303200200,34.8047824,-4.2077637,-0.244,0.420
03311312322131,34.4069092,-1.9445801,-0.271,0.403
03313012033030,30.2495768,-7.8552246,-0.385,0.400
03311302122010,35.0209992,-4.8669434,-0.053,0.543
03311233133230,32.5745912,-5.7458496,-0.478,0.404
03313011002211,31.7188218,-6.9543457,0.258,0.492
03313011001102,31.9241921,-6.7565918,-0.396,0.483
03311302120300,35.0929448,-4.8229980,-0.119,0.440
03311231203212,33.4772717,-6.8005371,-0.854,0.428
03313002332331,29.5639011,-10.0305176,-0.078,0.512
03313003112001,30.5906366,-8.7561035,-0.367,0.426
03313001211000,31.3442540,-9.3054199,-0.293,0.414
03311223323020,32.0546442,-8.9538574,0.001,0.494
03311303330033,34.5337119,-3.0871582,-0.571,0.454
03311233222110,32.0918821,-6.8884277,-0.382,0.403
03311303203033,34.6783932,-3.9660645,-0.608,0.518
03311213332320,34.3343640,-5.8776855,-0.120,0.516
03311312122223,34.8949420,-2.0764160,-0.408,0.448
03311322200103,32.5190256,-5.5041504,-0.122,0.489
03311223322310,32.0173911,-8.9978027,-0.498,0.403
03311303221131,34.5518109,-3.8781738,0.297,0.492
03313010223001,30.8927970,-8.2287598,-0.467,0.388
03311232032000,32.6856194,-8.0749512,-0.211,0.434
03313010032333,31.3630180,-7.9211426,0.190,0.501
03311231302132,33.5139189,-6.1853027,-0.528,0.417
03311233221003,32.2220954,-6.8225098,-0.115,0.526
03311302030103,35.1468624,-5.1525879,-0.268,0.391
03311213103100,35.3084009,-6.0534668,-0.413,0.647
03313001210222,31.2128010,-9.4812012,-0.615,0.429
03311320232223,33.1467497,-5.2404785,-0.073,0.393
03311231310032,33.6603526,-5.9216309,-0.627,0.429
03311302102222,35.1827876,-4.9108887,-0.484,0.466
03313011001303,31.8495649,-6.7346191,0.145,0.428
03311302121021,35.1288938,-4.7131348,-0.132,0.520
03311321200333,33.5871669,-4.0539551,-0.009,0.383
03311302213101,34.7325837,-4.9768066,-0.074,0.468
03313011101102,31.9241921,-6.0534668,0.084,0.387
03311320101201,34.2254285,-4.7131348,-0.642,0.420
03313013101133,30.6851635,-5.9875488,-0.044,0.389
03311302322032,34.3887788,-4.8669434,-0.638,0.486
03313010130302,31.5504522,-7.2839355,-0.485,0.389
03313010120320,31.5317257,-7.6354980,0.133,0.478
03313012100133,30.6851635,-7.5695801,-0.623,0.391
03313011331101,31.0435212,-5.6799316,-0.478,0.404
03311233322112,32.0732651,-6.1853027,-0.551,0.413
03311232032102,32.6671243,-7.9870605,-0.513,0.430
03311231113221,34.0435560,-5.7678223,-0.288,0.471
03311312033210,34.9489902,-2.2302246,-0.070,0.518
03311233013020,32.9441484,-6.4929199,-0.124,0.488
03313001302202,31.0999813,-9.1296387,-0.039,0.465
03311320113101,34.1527265,-4.2736816,-0.703,0.444
03313001120002,31.6253207,-9.1296387,-0.412,0.455
03311320200023,33.6603526,-5.5920410,0.046,0.508
03311232023033,32.6301225,-8.1848145,-0.326,0.510
03311320212312,33.4772717,-5.1306152,-0.178,0.496
03313100022231,31.3817783,-5.5480957,-0.445,0.478
03311320200122,33.6603526,-5.5261230,0.343,0.494
03311303031102,35.1468624,-3.5925293,-0.014,0.554
03313013132100,30.2875311,-5.8776855,-0.171,0.488
03311302221213,34.4975022,-5.3723145,0.426,0.540
03311312023223,34.8949420,-2.6037598,0.162,0.452
03313001131233,31.5129954,-8.5363770,0.347,0.456
03311223312310,32.3149908,-8.6462402,-0.572,0.456
03311321103130,34.1163520,-3.1970215,-0.390,0.405
03311231203232,33.4406090,-6.8005371,-0.201,0.460
03313001012011,31.7935547,-9.4152832,0.087,0.442
03311320212212,33.4772717,-5.2185059,-0.245,0.523
03311232200213,32.4448845,-8.3605957,0.038,0.488
03313010032310,31.4192877,-7.9431152,-0.885,0.501
03313003013312,30.4960174,-9.1735840,0.068,0.482
03313012021020,30.4013061,-8.2507324,-0.655,0.406
03313001031220,31.5317257,-9.3054199,-0.752,0.439
03313003031022,30.3823528,-9.3054199,-0.206,0.525
03313003010111,30.7418353,-9.3273926,0.145,0.477
03313001301300,31.2691604,-8.8659668,0.331,0.493
03313003003311,30.5149486,-9.5031738,-0.289,0.458
03311320230113,33.4039307,-5.1086426,-0.333,0.480
03313003302032,29.9263737,-9.0856934,-0.048,0.411
03311303230010,34.5879970,-3.8122559,-0.455,0.403
03313010102020,31.7561958,-7.7233887,-0.639,0.432
03311322023212,32.5931055,-5.3942871,0.338,0.434
03311231200013,33.6969222,-6.9543457,-0.409,0.466
03311302310103,34.8588900,-4.4494629,-0.457,0.419
03311232202101,32.3892386,-8.3166504,-0.708,0.404
03311232102131,32.9441484,-7.5695801,-0.115,0.471
03311213113111,35.3084009,-5.6359863,0.696,0.565
03313010121033,31.5878940,-7.4816895,0.058,0.431
03311233232003,32.0732651,-6.6467285,0.142,0.446
03313010220331,30.9305004,-8.2727051,0.254,0.491
03313100133121,31.4567820,-4.2736816,-0.137,0.458
03313010210333,31.2128010,-7.9211426,-0.444,0.555
03313001101212,31.8495649,-8.9099121,-0.634,0.424
03311303133300,34.9489902,-2.8894043,0.147,0.474
03313001310211,31.2691604,-8.7121582,-0.598,0.422
03311232031132,32.7780375,-7.7673340,0.106,0.538
03311232202220,32.2778440,-8.4265137,-0.351,0.481
03311320331011,33.4222718,-4.3176270,-0.228,0.400
03311320131002,33.9889180,-4.3835449,0.032,0.511
03311320022323,33.7334762,-5.5041504,-0.379,0.467
03311303310333,34.7506393,-2.9992676,-0.047,0.465
03311223113201,32.9072618,-8.5803223,-0.439,0.465
03313020121032,29.1617551,-10.3161621,-0.708,0.394
03313003032202,30.1926178,-9.4812012,0.842,0.592
